Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000p,C_3216M,11.0,-5.5,0.0,top
C10,1u,C_1608M,18.0,-59.25,-90.0,top
C11,1u,C_1608M,18.5,-25.0,0.0,top
C12,1u,C_1608M,18.5,-49.0,0.0,top
C13,1u,C_1608M,18.5,-73.0,0.0,top
C14,0.1u,C_1608M,18.5,-23.25,0.0,top
C15,0.1u,C_1608M,18.5,-47.25,0.0,top
C16,0.1u,C_1608M,18.5,-71.25,0.0,top
C17,10n,C_1608M,14.25,-15.5,90.0,top
C18,10n,C_1608M,14.25,-39.5,90.0,top
C19,10n,C_1608M,14.25,-63.5,90.0,top
C2,1u,C_1608M,24.75,-11.5,-90.0,top
C3,1u,C_1608M,24.75,-35.5,-90.0,top
C4,1u,C_1608M,24.75,-59.5,-90.0,top
C5,1u,C_1608M,23.0,-11.5,-90.0,top
C6,1u,C_1608M,23.0,-35.5,-90.0,top
C7,1u,C_1608M,23.0,-59.5,-90.0,top
C8,1u,C_1608M,18.0,-11.25,-90.0,top
C9,1u,C_1608M,18.0,-35.25,-90.0,top
R1,1M,R_3216M,11.0,-2.5,0.0,top
R10,100,R_1608M,23.75,-14.75,-90.0,top
R11,100,R_1608M,23.75,-38.75,-90.0,top
R12,100,R_1608M,23.75,-62.75,-90.0,top
R13,100k,R_1608M,16.25,-11.25,-90.0,top
R14,100k,R_1608M,16.25,-35.25,-90.0,top
R15,100k,R_1608M,16.25,-59.25,-90.0,top
R16,3.3k,R_1608M,14.5,-11.25,-90.0,top
R17,3.3k,R_1608M,14.5,-35.25,-90.0,top
R18,3.3k,R_1608M,14.5,-59.25,-90.0,top
R19,10k,R_1608M,25.5,-17.5,-90.0,top
R2,0,R_1608M,27.5,-32.5,-90.0,top
R20,100k,R_1608M,16.75,-15.75,0.0,top
R21,10k,R_1608M,25.5,-41.5,-90.0,top
R22,100k,R_1608M,16.75,-39.75,0.0,top
R23,10k,R_1608M,25.5,-65.5,-90.0,top
R24,100k,R_1608M,16.75,-63.75,0.0,top
R25,10k,R_1608M,25.5,-20.75,-90.0,top
R26,100k,R_1608M,16.0,-18.75,-90.0,top
R27,10k,R_1608M,25.5,-44.75,-90.0,top
R28,100k,R_1608M,16.0,-42.75,-90.0,top
R29,10k,R_1608M,25.5,-68.75,-90.0,top
R3,0,R_1608M,27.5,-56.5,-90.0,top
R30,100k,R_1608M,16.0,-66.75,-90.0,top
R34,100k,R_1608M,12.5,-15.5,90.0,top
R35,100k,R_1608M,12.5,-39.5,90.0,top
R36,100k,R_1608M,12.5,-63.5,90.0,top
R4,100k,R_1608M,16.75,-30.5,180.0,top
R5,100k,R_1608M,16.75,-54.5,180.0,top
R6,100k,R_1608M,16.75,-78.5,180.0,top
R7,10k,R_1608M,23.5,-27.5,-90.0,top
R8,10k,R_1608M,23.5,-51.5,-90.0,top
R9,10k,R_1608M,23.5,-75.5,-90.0,top
